periode_data,wilayah,kecamatan,kategori_masalah_gizi,jumlah
2025,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,GIZI BURUK,10
2025,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GIZI BURUK,12
2025,KOTA ADM. JAKARTA PUSAT,MENTENG,GIZI BURUK,2
2025,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,GIZI BURUK,22
2025,KOTA ADM. JAKARTA PUSAT,SENEN,GIZI BURUK,4
2025,KOTA ADM. JAKARTA PUSAT,TANAH ABANG,GIZI BURUK,6
2025,KOTA ADM. JAKARTA SELATAN,CILANDAK,GIZI BURUK,7
2025,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,GIZI BURUK,48
2025,KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,GIZI BURUK,19
2025,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,GIZI BURUK,38
2025,KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,GIZI BURUK,28
2025,KOTA ADM. JAKARTA SELATAN,PANCORAN,GIZI BURUK,10
2025,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,GIZI BURUK,6
2025,KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,GIZI BURUK,11
2025,KOTA ADM. JAKARTA SELATAN,SETIABUDI,GIZI BURUK,8
2025,KOTA ADM. JAKARTA SELATAN,TEBET,GIZI BURUK,16
2025,KOTA ADM. JAKARTA TIMUR,CAKUNG,GIZI BURUK,53
2025,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,GIZI BURUK,317
2025,KOTA ADM. JAKARTA TIMUR,CIRACAS,GIZI BURUK,29
2025,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,GIZI BURUK,10
2025,KOTA ADM. JAKARTA TIMUR,JATINEGARA,GIZI BURUK,25
2025,KOTA ADM. JAKARTA TIMUR,KRAMATJATI,GIZI BURUK,176
2025,KOTA ADM. JAKARTA TIMUR,MAKASAR,GIZI BURUK,21
2025,KOTA ADM. JAKARTA TIMUR,MATRAMAN,GIZI BURUK,30
2025,KOTA ADM. JAKARTA TIMUR,PASAR REBO,GIZI BURUK,359
2025,KOTA ADM. JAKARTA TIMUR,PULOGADUNG,GIZI BURUK,6
2025,KOTA ADM. JAKARTA UTARA,CILINCING,GIZI BURUK,32
2025,KOTA ADM. JAKARTA UTARA,KELAPA GADING,GIZI BURUK,3
2025,KOTA ADM. JAKARTA UTARA,KOJA,GIZI BURUK,91
2025,KOTA ADM. JAKARTA UTARA,PADEMANGAN,GIZI BURUK,18
2025,KOTA ADM. JAKARTA UTARA,PENJARINGAN,GIZI BURUK,13
2025,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,GIZI BURUK,172
2025,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU SELATAN,GIZI KURANG,133
2025,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU UTARA,GIZI KURANG,223
2025,KOTA ADM. JAKARTA BARAT,CENGKARENG,GIZI KURANG,2083
2025,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,GIZI KURANG,359
2025,KOTA ADM. JAKARTA BARAT,KALIDERES,GIZI KURANG,526
2025,KOTA ADM. JAKARTA BARAT,KEBON JERUK,GIZI KURANG,786
2025,KOTA ADM. JAKARTA BARAT,KEMBANGAN,GIZI KURANG,135
2025,KOTA ADM. JAKARTA BARAT,PAL MERAH,GIZI KURANG,884
2025,KOTA ADM. JAKARTA BARAT,TAMAN SARI,GIZI KURANG,91
2025,KOTA ADM. JAKARTA BARAT,TAMBORA,GIZI KURANG,115
2025,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,GIZI KURANG,60
2025,KOTA ADM. JAKARTA PUSAT,GAMBIR,GIZI KURANG,129
2025,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,GIZI KURANG,137
2025,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GIZI KURANG,135
2025,KOTA ADM. JAKARTA PUSAT,MENTENG,GIZI KURANG,63
2025,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,GIZI KURANG,239
2025,KOTA ADM. JAKARTA PUSAT,SENEN,GIZI KURANG,281
2025,KOTA ADM. JAKARTA PUSAT,TANAH ABANG,GIZI KURANG,425
2025,KOTA ADM. JAKARTA SELATAN,CILANDAK,GIZI KURANG,31
2025,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,GIZI KURANG,284
2025,KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,GIZI KURANG,232
2025,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,GIZI KURANG,167
2025,KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,GIZI KURANG,124
2025,KOTA ADM. JAKARTA SELATAN,PANCORAN,GIZI KURANG,104
2025,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,GIZI KURANG,26
2025,KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,GIZI KURANG,77
2025,KOTA ADM. JAKARTA UTARA,KOJA,UNDERWEIGHT,121
2025,KOTA ADM. JAKARTA UTARA,PADEMANGAN,UNDERWEIGHT,145
2025,KOTA ADM. JAKARTA UTARA,PENJARINGAN,UNDERWEIGHT,135
2025,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,UNDERWEIGHT,505
2025,KOTA ADM. JAKARTA SELATAN,SETIABUDI,GIZI KURANG,76
2025,KOTA ADM. JAKARTA SELATAN,TEBET,GIZI KURANG,72
2025,KOTA ADM. JAKARTA TIMUR,CAKUNG,GIZI KURANG,121
2025,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,GIZI KURANG,1582
2025,KOTA ADM. JAKARTA TIMUR,CIRACAS,GIZI KURANG,317
2025,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,GIZI KURANG,39
2025,KOTA ADM. JAKARTA TIMUR,JATINEGARA,GIZI KURANG,168
2025,KOTA ADM. JAKARTA TIMUR,KRAMATJATI,GIZI KURANG,722
2025,KOTA ADM. JAKARTA TIMUR,MAKASAR,GIZI KURANG,123
2025,KOTA ADM. JAKARTA TIMUR,MATRAMAN,GIZI KURANG,136
2025,KOTA ADM. JAKARTA TIMUR,PASAR REBO,GIZI KURANG,238
2025,KOTA ADM. JAKARTA TIMUR,PULOGADUNG,GIZI KURANG,169
2025,KOTA ADM. JAKARTA UTARA,CILINCING,GIZI KURANG,333
2025,KOTA ADM. JAKARTA UTARA,KELAPA GADING,GIZI KURANG,307
2025,KOTA ADM. JAKARTA UTARA,KOJA,GIZI KURANG,182
2025,KOTA ADM. JAKARTA UTARA,PADEMANGAN,GIZI KURANG,240
2025,KOTA ADM. JAKARTA UTARA,PENJARINGAN,GIZI KURANG,140
2025,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,GIZI KURANG,1137
2025,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU SELATAN,UNDERWEIGHT,111
2025,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU UTARA,UNDERWEIGHT,129
2025,KOTA ADM. JAKARTA BARAT,CENGKARENG,UNDERWEIGHT,1369
2025,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,UNDERWEIGHT,404
2025,KOTA ADM. JAKARTA BARAT,KALIDERES,UNDERWEIGHT,263
2025,KOTA ADM. JAKARTA BARAT,KEBON JERUK,UNDERWEIGHT,461
2025,KOTA ADM. JAKARTA BARAT,KEMBANGAN,UNDERWEIGHT,72
2025,KOTA ADM. JAKARTA BARAT,PAL MERAH,UNDERWEIGHT,464
2025,KOTA ADM. JAKARTA BARAT,TAMAN SARI,UNDERWEIGHT,51
2025,KOTA ADM. JAKARTA BARAT,TAMBORA,UNDERWEIGHT,58
2025,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,UNDERWEIGHT,42
2025,KOTA ADM. JAKARTA PUSAT,GAMBIR,UNDERWEIGHT,156
2025,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,UNDERWEIGHT,381
2025,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,UNDERWEIGHT,135
2025,KOTA ADM. JAKARTA PUSAT,MENTENG,UNDERWEIGHT,51
2025,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,UNDERWEIGHT,174
2025,KOTA ADM. JAKARTA PUSAT,SENEN,UNDERWEIGHT,209
2025,KOTA ADM. JAKARTA PUSAT,TANAH ABANG,UNDERWEIGHT,253
2025,KOTA ADM. JAKARTA SELATAN,CILANDAK,UNDERWEIGHT,25
2025,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,UNDERWEIGHT,132
2025,KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,UNDERWEIGHT,107
2025,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,UNDERWEIGHT,31
2025,KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,UNDERWEIGHT,64
2025,KOTA ADM. JAKARTA SELATAN,PANCORAN,UNDERWEIGHT,61
2025,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,UNDERWEIGHT,14
2025,KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,UNDERWEIGHT,21
2025,KOTA ADM. JAKARTA SELATAN,SETIABUDI,UNDERWEIGHT,50
2025,KOTA ADM. JAKARTA SELATAN,TEBET,UNDERWEIGHT,59
2025,KOTA ADM. JAKARTA TIMUR,CAKUNG,UNDERWEIGHT,71
2025,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,UNDERWEIGHT,399
2025,KOTA ADM. JAKARTA TIMUR,CIRACAS,UNDERWEIGHT,189
2025,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,UNDERWEIGHT,22
2025,KOTA ADM. JAKARTA TIMUR,JATINEGARA,UNDERWEIGHT,321
2025,KOTA ADM. JAKARTA TIMUR,KRAMATJATI,UNDERWEIGHT,215
2025,KOTA ADM. JAKARTA TIMUR,MAKASAR,UNDERWEIGHT,93
2025,KOTA ADM. JAKARTA TIMUR,MATRAMAN,UNDERWEIGHT,71
2025,KOTA ADM. JAKARTA TIMUR,PASAR REBO,UNDERWEIGHT,55
2025,KOTA ADM. JAKARTA TIMUR,PULOGADUNG,UNDERWEIGHT,44
2025,KOTA ADM. JAKARTA UTARA,CILINCING,UNDERWEIGHT,146
2025,KOTA ADM. JAKARTA UTARA,KELAPA GADING,UNDERWEIGHT,174
2025,KOTA ADM. JAKARTA BARAT,TAMBORA,GIZI BURUK,15
2025,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,GIZI BURUK,11
2025,KOTA ADM. JAKARTA PUSAT,GAMBIR,GIZI BURUK,14
2025,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU SELATAN,BALITA STUNTING,22
2025,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU UTARA,BALITA STUNTING,79
2025,KOTA ADM. JAKARTA BARAT,CENGKARENG,BALITA STUNTING,1948
2025,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,BALITA STUNTING,308
2025,KOTA ADM. JAKARTA BARAT,KALIDERES,BALITA STUNTING,787
2025,KOTA ADM. JAKARTA BARAT,KEBON JERUK,BALITA STUNTING,872
2025,KOTA ADM. JAKARTA BARAT,KEMBANGAN,BALITA STUNTING,135
2025,KOTA ADM. JAKARTA BARAT,PAL MERAH,BALITA STUNTING,752
2025,KOTA ADM. JAKARTA BARAT,TAMAN SARI,BALITA STUNTING,49
2025,KOTA ADM. JAKARTA BARAT,TAMBORA,BALITA STUNTING,165
2025,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,BALITA STUNTING,172
2025,KOTA ADM. JAKARTA PUSAT,GAMBIR,BALITA STUNTING,231
2025,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,BALITA STUNTING,297
2025,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,BALITA STUNTING,208
2025,KOTA ADM. JAKARTA PUSAT,MENTENG,BALITA STUNTING,112
2025,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,BALITA STUNTING,267
2025,KOTA ADM. JAKARTA PUSAT,SENEN,BALITA STUNTING,208
2025,KOTA ADM. JAKARTA PUSAT,TANAH ABANG,BALITA STUNTING,381
2025,KOTA ADM. JAKARTA SELATAN,CILANDAK,BALITA STUNTING,209
2025,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,BALITA STUNTING,922
2025,KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,BALITA STUNTING,339
2025,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,BALITA STUNTING,205
2025,KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,BALITA STUNTING,436
2025,KOTA ADM. JAKARTA SELATAN,PANCORAN,BALITA STUNTING,212
2025,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,BALITA STUNTING,76
2025,KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,BALITA STUNTING,259
2025,KOTA ADM. JAKARTA SELATAN,SETIABUDI,BALITA STUNTING,125
2025,KOTA ADM. JAKARTA SELATAN,TEBET,BALITA STUNTING,250
2025,KOTA ADM. JAKARTA TIMUR,CAKUNG,BALITA STUNTING,298
2025,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,BALITA STUNTING,1115
2025,KOTA ADM. JAKARTA TIMUR,CIRACAS,BALITA STUNTING,162
2025,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,BALITA STUNTING,123
2025,KOTA ADM. JAKARTA TIMUR,JATINEGARA,BALITA STUNTING,163
2025,KOTA ADM. JAKARTA TIMUR,KRAMATJATI,BALITA STUNTING,1833
2025,KOTA ADM. JAKARTA TIMUR,MAKASAR,BALITA STUNTING,152
2025,KOTA ADM. JAKARTA TIMUR,MATRAMAN,BALITA STUNTING,275
2025,KOTA ADM. JAKARTA TIMUR,PASAR REBO,BALITA STUNTING,1209
2025,KOTA ADM. JAKARTA TIMUR,PULOGADUNG,BALITA STUNTING,155
2025,KOTA ADM. JAKARTA UTARA,CILINCING,BALITA STUNTING,708
2025,KOTA ADM. JAKARTA UTARA,KELAPA GADING,BALITA STUNTING,144
2025,KOTA ADM. JAKARTA UTARA,KOJA,BALITA STUNTING,618
2025,KOTA ADM. JAKARTA UTARA,PADEMANGAN,BALITA STUNTING,491
2025,KOTA ADM. JAKARTA UTARA,PENJARINGAN,BALITA STUNTING,365
2025,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,BALITA STUNTING,1754
2025,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU SELATAN,GIZI BURUK,3
2025,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU UTARA,GIZI BURUK,7
2025,KOTA ADM. JAKARTA BARAT,CENGKARENG,GIZI BURUK,402
2025,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,GIZI BURUK,18
2025,KOTA ADM. JAKARTA BARAT,KALIDERES,GIZI BURUK,184
2025,KOTA ADM. JAKARTA BARAT,KEBON JERUK,GIZI BURUK,46
2025,KOTA ADM. JAKARTA BARAT,KEMBANGAN,GIZI BURUK,21
2025,KOTA ADM. JAKARTA BARAT,PAL MERAH,GIZI BURUK,127
2025,KOTA ADM. JAKARTA BARAT,TAMAN SARI,GIZI BURUK,8
